name,key,personal_tier,platform_tier,posture,value,access,platform,personal,safety_net,override,override_personal,tags
Clearpath Robotics / OTTO Motors,clearpath,D,C,balanced,46.83,60.0,44.4,53.01,False,,,"canada,hardware"
Top Hat,tophat,D,D,floor_only,46.83,66.67,35.07,55.88,False,,,"saas,toronto"
Wattpad,wattpad,C,B,floor_only,54.33,80.0,57.07,65.93,False,,,"saas,toronto,data"
BlueCat Networks,bluecat,C,C,floor_only,48.5,66.67,39.07,56.86,False,,,"saas,toronto"
SOTI,soti,C,C,floor_only,40.17,86.67,40.4,59.0,False,,,"saas,toronto"
Hopper,hopper,A,B,balanced,72.0,93.33,59.47,81.98,False,,,"saas,canada,data"
SSENSE,ssense,A,B,balanced,64.17,93.33,60.67,77.39,False,,,"saas,canada,commerce"
Visier,visier,B,C,balanced,63.5,80.0,39.07,71.27,False,,,"saas,canada,tob"
Thinkific,thinkific,D,D,floor_only,46.83,66.67,35.07,55.88,False,,,"saas,canada"
Hootsuite,hootsuite,C,C,balanced,52.83,66.67,49.47,59.35,False,,,"saas,canada"
Absolute Security,absolute,D,D,floor_only,40.17,66.67,35.07,51.75,False,,,"saas,canada"
Copperleaf Technologies,copperleaf,B,C,balanced,63.5,80.0,39.07,71.27,False,,,"saas,canada,tob"
Dapper Labs,dapperlabs,C,C,balanced,56.67,66.67,42.67,61.46,False,,,"saas,canada"
Klue,klue,C,D,balanced,61.83,66.67,35.07,64.2,False,,,"saas,canada,tob"
MindBridge AI,mindbridge,B,C,balanced,70.17,80.0,39.07,74.92,False,,,"ai,canada,tob,fintech"
Loblaw Digital,loblawdigital,B,C,floor_only,52.0,100.0,52.8,72.11,False,,,"commerce,toronto"
CIRA,cira,D,D,floor_only,37.67,53.33,29.07,44.82,True,,,canada
Bank of Canada,bankofcanada,A,A,balanced,67.83,86.67,70.8,76.67,False,,,"government,canada,data"
Statistics Canada,statcan,B,B,floor_only,49.67,100.0,63.2,70.47,True,,,"government,canada,data"
City of Toronto,cityoftoronto,D,C,floor_only,35.33,80.0,43.47,53.17,True,,,"government,toronto"
Ontario Public Service,ops,C,C,floor_only,35.33,100.0,48.8,59.44,True,,,"government,toronto"
Ontario Digital Service,ontariodigital,D,D,balanced,52.67,53.33,33.07,53.0,True,,,"government,toronto"
Metrolinx,metrolinx,D,C,floor_only,35.33,80.0,43.47,53.17,True,,,"government,toronto"
Toronto Transit Commission,ttc,D,C,floor_only,35.33,53.33,43.47,43.41,True,,,"government,toronto"
Hydro One,hydroone,D,C,floor_only,35.33,73.33,48.8,50.9,True,,,"government,toronto"
Canada Post,canadapost,D,B,floor_only,41.33,66.67,57.87,52.49,True,,,"government,canada"
Brookfield,brookfield,C,A,balanced,64.5,66.67,73.47,65.57,False,,,"investment,toronto"
Onex,onex,D,C,balanced,54.5,53.33,49.47,53.91,False,,,"investment,toronto"
PSP Investments,psp,B,C,balanced,62.83,80.0,53.47,70.9,False,,,"pension,investment,canada"
AIMCo,aimco,B,C,floor_only,60.33,80.0,47.47,69.47,False,,,"pension,investment,canada"
BCI,bci,C,D,floor_only,54.33,80.0,33.07,65.93,False,,,"pension,investment,canada"
Mackenzie Investments,mackenzie,C,C,floor_only,52.0,80.0,43.47,64.5,False,,,"investment,toronto"
Fiera Capital,fiera,D,D,balanced,48.5,60.0,29.73,53.94,False,,,"investment,canada"
Polar Asset Management,polarasset,D,D,balanced,56.83,46.67,33.73,51.5,False,,,"investment,toronto,quant"
Picton Mahoney,pictonmahoney,D,D,balanced,46.0,46.67,23.73,46.33,False,,,"investment,toronto,quant"
TD Securities,tdsecurities,S,A,balanced,72.83,100.0,82.8,85.34,False,,,"investment,bank,toronto,quant"
RBC Capital Markets,rbccm,S,A,balanced,72.83,100.0,82.8,85.34,False,,,"investment,bank,toronto,quant"
BMO Capital Markets,bmocm,A,B,balanced,66.83,86.67,68.4,76.11,False,,,"investment,bank,toronto,quant"
